TIME,1. sick,2. healthy,
711.0,64.0,48.0,
712.0,64.0,51.0,
713.0,67.0,48.0,
714.0,70.0,44.0,
715.0,69.0,44.0,
716.0,72.0,45.0,
717.0,73.0,45.0,
718.0,73.0,45.0,
719.0,73.0,47.0,
720.0,73.0,44.0,
721.0,74.0,42.0,
722.0,68.0,43.0,
723.0,64.0,48.0,
724.0,67.0,50.0,
725.0,68.0,50.0,
726.0,68.0,52.0,
727.0,70.0,48.0,
728.0,75.0,48.0,
729.0,70.0,51.0,
730.0,64.0,54.0,
731.0,65.0,52.0,
732.0,66.0,54.0,
733.0,67.0,51.0,
734.0,70.0,49.0,
735.0,69.0,47.0,
736.0,63.0,49.0,
737.0,63.0,47.0,
738.0,65.0,47.0,
739.0,67.0,44.0,
740.0,64.0,47.0,
741.0,65.0,45.0,
742.0,64.0,45.0,
743.0,65.0,42.0,
744.0,66.0,41.0,
745.0,63.0,43.0,
746.0,63.0,43.0,
747.0,60.0,51.0,
748.0,64.0,48.0,
749.0,61.0,45.0,
750.0,62.0,45.0,
751.0,62.0,43.0,
752.0,61.0,43.0,
753.0,58.0,46.0,
754.0,59.0,43.0,
755.0,59.0,40.0,
756.0,59.0,39.0,
757.0,58.0,37.0,
758.0,56.0,35.0,
759.0,54.0,32.0,
760.0,53.0,35.0,
761.0,50.0,41.0,
762.0,52.0,37.0,
763.0,53.0,34.0,
764.0,54.0,33.0,
765.0,55.0,37.0,
766.0,51.0,37.0,
767.0,53.0,35.0,
768.0,52.0,37.0,
769.0,54.0,37.0,
770.0,56.0,37.0,
771.0,52.0,43.0,
772.0,50.0,44.0,
773.0,51.0,46.0,
774.0,52.0,50.0,
775.0,53.0,48.0,
776.0,52.0,49.0,
777.0,51.0,50.0,
778.0,53.0,48.0,
779.0,52.0,49.0,
780.0,53.0,53.0,
781.0,52.0,53.0,
782.0,57.0,50.0,
783.0,57.0,53.0,
784.0,57.0,53.0,
785.0,54.0,50.0,
786.0,52.0,50.0,
787.0,53.0,51.0,
788.0,55.0,53.0,
789.0,55.0,52.0,
790.0,58.0,50.0,
791.0,58.0,50.0,
792.0,63.0,43.0,
793.0,63.0,41.0,
794.0,61.0,39.0,
795.0,59.0,37.0,
796.0,56.0,39.0,
797.0,57.0,40.0,
798.0,55.0,45.0,
799.0,55.0,45.0,
800.0,59.0,41.0,
801.0,55.0,45.0,
802.0,59.0,46.0,
803.0,60.0,45.0,
804.0,53.0,50.0,
805.0,52.0,50.0,
806.0,50.0,53.0,
807.0,51.0,52.0,
808.0,51.0,58.0,
809.0,52.0,61.0,
810.0,52.0,64.0,
811.0,49.0,64.0,
812.0,51.0,62.0,
813.0,53.0,60.0,
814.0,56.0,61.0,
815.0,53.0,58.0,
816.0,56.0,58.0,
817.0,57.0,57.0,
818.0,58.0,53.0,
819.0,62.0,49.0,
820.0,60.0,51.0,
821.0,61.0,55.0,
822.0,62.0,55.0,
823.0,61.0,60.0,
824.0,64.0,59.0,
825.0,69.0,58.0,
826.0,65.0,61.0,
827.0,68.0,59.0,
828.0,72.0,64.0,
829.0,75.0,63.0,
830.0,77.0,70.0,
831.0,79.0,70.0,
832.0,80.0,62.0,
833.0,76.0,65.0,
834.0,79.0,59.0,
835.0,81.0,62.0,
836.0,83.0,57.0,
837.0,86.0,54.0,
838.0,86.0,53.0,
839.0,82.0,57.0,
840.0,78.0,57.0,
841.0,77.0,59.0,
842.0,82.0,62.0,
843.0,85.0,58.0,
844.0,87.0,59.0,
845.0,89.0,56.0,
846.0,91.0,53.0,
847.0,97.0,54.0,
848.0,99.0,47.0,
849.0,96.0,45.0,
850.0,97.0,48.0,
851.0,97.0,50.0,
852.0,104.0,41.0,
853.0,95.0,46.0,
854.0,93.0,51.0,
855.0,93.0,54.0,
856.0,93.0,50.0,
857.0,94.0,56.0,
858.0,96.0,59.0,
859.0,94.0,61.0,
860.0,98.0,68.0,
861.0,97.0,68.0,
862.0,96.0,65.0,
863.0,99.0,64.0,
864.0,98.0,62.0,
865.0,100.0,61.0,
866.0,98.0,61.0,
867.0,95.0,60.0,
868.0,94.0,55.0,
869.0,95.0,61.0,
870.0,96.0,60.0,
871.0,94.0,62.0,
872.0,95.0,66.0,
873.0,87.0,71.0,
874.0,84.0,71.0,
875.0,87.0,72.0,
876.0,89.0,72.0,
877.0,91.0,68.0,
878.0,85.0,73.0,
879.0,82.0,74.0,
880.0,84.0,71.0,
881.0,84.0,77.0,
882.0,87.0,69.0,
883.0,92.0,71.0,
884.0,96.0,71.0,
885.0,93.0,69.0,
886.0,93.0,68.0,
887.0,95.0,65.0,
888.0,94.0,67.0,
889.0,96.0,68.0,
890.0,95.0,70.0,
891.0,97.0,65.0,
892.0,96.0,64.0,
893.0,92.0,78.0,
894.0,95.0,80.0,
895.0,104.0,76.0,
896.0,103.0,75.0,
897.0,102.0,76.0,
898.0,101.0,78.0,
899.0,96.0,87.0,
900.0,99.0,90.0,
901.0,107.0,94.0,
902.0,109.0,94.0,
903.0,118.0,83.0,
904.0,117.0,83.0,
905.0,121.0,80.0,
906.0,120.0,72.0,
907.0,121.0,74.0,
908.0,126.0,79.0,
909.0,118.0,84.0,
910.0,117.0,84.0,
911.0,116.0,74.0,
912.0,115.0,85.0,
913.0,110.0,85.0,
914.0,114.0,83.0,
915.0,119.0,78.0,
916.0,122.0,77.0,
917.0,120.0,79.0,
918.0,117.0,76.0,
919.0,110.0,80.0,
920.0,113.0,78.0,
921.0,109.0,81.0,
922.0,108.0,76.0,
923.0,107.0,70.0,
924.0,110.0,72.0,
925.0,106.0,80.0,
926.0,107.0,78.0,
927.0,110.0,74.0,
928.0,102.0,76.0,
929.0,97.0,74.0,
930.0,96.0,71.0,
931.0,99.0,73.0,
932.0,100.0,76.0,
933.0,102.0,74.0,
934.0,108.0,81.0,
935.0,112.0,75.0,
936.0,109.0,73.0,
937.0,103.0,72.0,
938.0,106.0,69.0,
939.0,111.0,64.0,
940.0,105.0,68.0,
941.0,104.0,58.0,
942.0,105.0,64.0,
943.0,102.0,72.0,
944.0,99.0,65.0,
945.0,99.0,66.0,
946.0,93.0,66.0,
947.0,98.0,62.0,
948.0,94.0,64.0,
949.0,90.0,75.0,
950.0,91.0,64.0,
951.0,93.0,59.0,
952.0,91.0,61.0,
953.0,91.0,64.0,
954.0,87.0,64.0,
955.0,94.0,52.0,
956.0,92.0,58.0,
957.0,91.0,60.0,
958.0,93.0,64.0,
959.0,88.0,63.0,
960.0,88.0,68.0,
961.0,93.0,63.0,
962.0,91.0,68.0,
963.0,95.0,70.0,
964.0,100.0,64.0,
965.0,108.0,61.0,
966.0,105.0,64.0,
967.0,108.0,60.0,
968.0,107.0,65.0,
969.0,111.0,69.0,
970.0,118.0,65.0,
971.0,117.0,63.0,
972.0,114.0,67.0,
973.0,114.0,62.0,
974.0,115.0,58.0,
975.0,112.0,58.0,
976.0,112.0,59.0,
977.0,112.0,64.0,
978.0,115.0,70.0,
979.0,117.0,78.0,
980.0,118.0,73.0,
981.0,123.0,72.0,
982.0,117.0,77.0,
983.0,111.0,74.0,
984.0,114.0,73.0,
985.0,110.0,76.0,
986.0,114.0,73.0,
987.0,118.0,67.0,
988.0,114.0,66.0,
989.0,111.0,71.0,
990.0,111.0,79.0,
991.0,113.0,80.0,
992.0,111.0,84.0,
993.0,106.0,82.0,
994.0,105.0,77.0,
995.0,107.0,73.0,
996.0,100.0,77.0,
997.0,102.0,76.0,
998.0,95.0,76.0,
999.0,94.0,80.0,
1000.0,106.0,74.0,
1001.0,110.0,76.0,
1002.0,118.0,79.0,
1003.0,114.0,73.0,
1004.0,120.0,64.0,
1005.0,115.0,75.0,
1006.0,106.0,78.0,
1007.0,110.0,73.0,
1008.0,112.0,70.0,
1009.0,108.0,77.0,
1010.0,106.0,81.0,
1011.0,106.0,79.0,
1012.0,108.0,73.0,
1013.0,109.0,73.0,
1014.0,101.0,74.0,
1015.0,100.0,69.0,
1016.0,96.0,74.0,
1017.0,103.0,69.0,
1018.0,104.0,69.0,
1019.0,108.0,59.0,
1020.0,110.0,53.0,
1021.0,111.0,54.0,
1022.0,114.0,54.0,
1023.0,110.0,59.0,
1024.0,107.0,69.0,
1025.0,108.0,68.0,
1026.0,114.0,70.0,
1027.0,111.0,69.0,
1028.0,112.0,68.0,
1029.0,112.0,69.0,
1030.0,112.0,64.0,
1031.0,113.0,68.0,
1032.0,112.0,68.0,
1033.0,116.0,64.0,
1034.0,117.0,68.0,
1035.0,108.0,72.0,
1036.0,108.0,74.0,
1037.0,110.0,72.0,
1038.0,106.0,72.0,
1039.0,103.0,69.0,
1040.0,106.0,63.0,
1041.0,107.0,68.0,
1042.0,107.0,70.0,
1043.0,110.0,67.0,
1044.0,106.0,70.0,
1045.0,116.0,69.0,
1046.0,114.0,70.0,
1047.0,110.0,69.0,
